string
description: W
filedata_intensity/210205_PM040653_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
703.3106079101562 75570718428.24258
703.4879150390625 75888682346.08264
703.6653442382812 76037533251.26694
703.8427734375 76121547117.736
704.0203857421875 76634351519.36932
704.1979370117188 76860376204.62242
704.3756713867188 76700282046.2611
704.553466796875 76558923188.56297
704.7313232421875 76691854901.93854
704.9091796875 76871531441.5182
705.0872192382812 77232788040.92236
705.2652587890625 77194534763.60925
705.4434204101562 77454843429.60779
705.6216430664062 77429503452.84975
705.7999267578125 78248207314.73038
705.9783325195312 78797747526.70454
706.15673828125 78483035034.88905
706.3352661132812 78943036908.59811
706.5138549804688 78846847676.14467
706.6925659179688 78807633992.11382
706.8712768554688 78475284245.6773
707.0501098632812 78350049179.16003
707.22900390625 78454152758.97064
707.4080200195312 78394658159.30273
707.5870361328125 78509244658.47935
707.7661743164062 78572036352.53247
707.9454345703125 78812626372.75568
708.1246337890625 78670083239.65497
708.3040161132812 78829978100.06583
708.4834594726562 79254424640.57106
708.6630249023438 78936174288.25162
708.8425903320312 79010009639.27017
709.022216796875 78685750623.15845
709.2019653320312 78938472738.6789
709.3817749023438 79686114628.15898
709.5616455078125 79508558364.4666
709.7416381835938 79195380971.21451
709.921630859375 79381734756.63689
710.1017456054688 79185669291.71106
710.281982421875 79299442762.03517
710.4622192382812 79157858522.54102
710.642578125 78680971337.37334
710.822998046875 78621738214.56871
711.0035400390625 78515417725.12354
711.18408203125 78084971674.96387
711.36474609375 77027209500.55292
711.5455322265625 76719446386.3057
711.726318359375 76632930194.68102
711.9071655273438 76442689115.66814
712.088134765625 75761704625.60875
712.2691650390625 74993061603.64511
712.4503173828125 74502667172.47552
712.6314697265625 73324905232.4682
712.812744140625 72317851663.67004
712.994140625 72203372488.20854
713.175537109375 72404631360.50354
713.3570556640625 72106507426.06873
713.5386352539062 71359212335.74814
713.7202758789062 71296190425.15866
713.9020385742188 71260605061.7068
714.0838012695312 71537157565.86893
714.2657470703125 71274350731.99185
714.4476928710938 71224413351.41357
714.6297607421875 71271598143.92876
714.8118286132812 71069571680.68253
714.9940795898438 70934518029.94763
715.1763305664062 71272748994.49286
715.358642578125 71459719755.31519
715.5411376953125 71107053478.24286
715.7236328125 71226187616.58629
715.9061889648438 71438307249.36566
716.0889282226562 71301274455.58359
716.2716674804688 71238558174.04842
716.4544677734375 71157508094.79655
716.6373901367188 71453109299.2886
716.8203735351562 71233753993.61359
717.00341796875 71492817972.53702
717.1865844726562 71959213686.45457
717.3697509765625 72262024278.2556
717.5530395507812 72369088244.91473
717.7363891601562 72190250703.97476
717.9198608398438 72276662537.62015
718.1033935546875 72113535502.00926
718.2869873046875 72018622821.44064
718.470703125 72267550274.23674
718.6544189453125 72159617914.99135
718.8383178710938 72507032601.49042
719.022216796875 72624395351.28955
719.2062377929688 72341081354.15799
719.3903198242188 72080605053.3634
719.5745239257812 71896181877.0135
719.7587280273438 72217712360.2476
719.9429931640625 72571114243.53778
720.12744140625 72636492143.01462
720.3118896484375 72869062470.9057
720.4964599609375 73111617385.39484
720.6810913085938 73094226637.59761
720.8658447265625 73064157052.14098
721.0505981445312 72787346709.70457
721.2354736328125 72926070489.82346
721.42041015625 73191878528.24702
721.60546875 73208788727.51526
721.7905883789062 73111838820.88011
721.9757690429688 73147573453.22203
722.1610107421875 73335511395.83333
722.3463745117188 73637681624.6329
722.5317993164062 73538143063.09364
722.7173461914062 73796004558.88933
722.9028930664062 73532141590.5966
723.0885009765625 73523527061.25372
723.2742919921875 73932529206.86224
723.4601440429688 73738622873.81564
723.6460571289062 73626324577.4019
723.83203125 73954177258.15417
724.01806640625 74107702143.05013
724.2042846679688 74235618791.63593
724.3904418945312 74157102988.04582
724.5767822265625 73978497857.26988
724.76318359375 73485503016.63733
724.9496459960938 73369623817.53569
725.1361694335938 73760791640.97469
725.3228149414062 74096234700.2581
725.509521484375 74278582205.82913
725.6963500976562 74311023134.73521
725.8831787109375 74075942662.35411
726.0701293945312 74285141970.07529
726.2572021484375 75011512307.39037
726.4443359375 75104328157.53357
726.6314697265625 74926977347.35962
726.8187866210938 74788532608.98962
727.006103515625 74679630773.58598
727.1935424804688 74319059063.30118
727.3810424804688 73248330193.33754
727.5686645507812 72570248652.04623
727.7564086914062 72321516260.65552
727.944091796875 71819066713.4904
728.1319580078125 71511855689.28323
728.3198852539062 71483864569.4949
728.5079345703125 71434124363.92667
728.696044921875 70943031314.77625
728.8840942382812 70477713019.09137
729.0724487304688 70623214402.39731
729.2607421875 70565817036.43658
729.4490966796875 70047186757.64005
729.6376342773438 70031722645.23285
729.826171875 69605353259.16875
730.014892578125 69354694893.7328
730.20361328125 69278602023.94641
730.3924560546875 69230242251.83635
730.5813598632812 69184852816.68544
730.7703247070312 69126810775.16548
730.9594116210938 68414425285.54672
731.1484985351562 67904618503.95848
731.3377685546875 68394886744.80572
731.527099609375 68330887890.520966
731.7164306640625 67749896069.471664
731.906005859375 67508459086.67569
732.0955200195312 67719334494.99911
732.28515625 67277421378.52224
732.474853515625 66997177433.59778
732.6647338867188 67016064904.84501
732.8545532226562 67153923246.62156
733.0445556640625 67164020383.908554
733.234619140625 67146363148.45236
733.4248046875 66901339851.96263
733.614990234375 66606683185.448326
733.8052978515625 66696517419.23585
733.9956665039062 66848168819.75884
734.1861572265625 66940622564.16086
734.376708984375 66522986696.94836
734.5673217773438 66190559651.333626
734.7579956054688 66381195570.3107
734.9488525390625 66162062838.95495
735.1397094726562 65671607362.42441
735.3306884765625 65676462211.789825
735.521728515625 65453512620.41721
735.712890625 65488638064.80279
735.904052734375 65423508132.33668
736.0953369140625 65330102400.35478
736.2867431640625 66202607725.19059
736.4782104492188 66123219755.981636
736.6697387695312 65937550286.509285
736.8614501953125 65886331709.56852
737.0531616210938 65362330517.03568
737.2449340820312 64980882645.47329
737.4368286132812 64882567330.47338
737.6287841796875 65107538142.77124
737.82080078125 64882246969.21444
738.0130004882812 65291654439.173515
738.2052001953125 65542952165.7405
738.3975219726562 65397229180.24525
738.5899047851562 65156406952.4839
738.7824096679688 65586306418.86735
738.9749755859375 65481423026.76457
739.1676025390625 64827378909.25316
739.3603515625 65040210157.49055
739.5531005859375 65340422256.27522
739.7459716796875 65281224175.623024
739.93896484375 65058022905.153725
740.132080078125 64775781370.77592
740.3251953125 64756797938.00367
740.5184326171875 65162151419.4264
740.7117309570312 65370473158.29695
740.9050903320312 65163706051.40828
741.0986328125 65404539897.19711
741.292236328125 65449650918.07734
741.48583984375 65616000616.525444
741.6795654296875 65388239881.77388
741.8734130859375 65062957728.1666
742.0673828125 64802057855.3815
742.2613525390625 64937061931.14559
742.4553833007812 64899924079.05576
742.6495971679688 64629950151.80418
742.8438110351562 64442964764.39845
743.0381469726562 64033754114.12203
743.2326049804688 64181128209.595
743.4271240234375 64114726235.579834
743.6217041015625 64203743890.38606
743.8163452148438 64190610361.250206
744.0111694335938 63397010240.347115
744.2059936523438 62923119241.515945
744.4010009765625 62670751416.70126
744.595947265625 62571511149.030914
744.791015625 62584659971.58001
744.9862670898438 62183020301.27251
745.1815185546875 62038406022.72179
745.376953125 61993723451.084816
745.5723266601562 61792531221.22071
745.7678833007812 61765084812.14009
745.9635009765625 61724213448.31268
746.1591796875 61986608721.23219
746.3550415039062 62202329944.53791
746.5509033203125 61711995791.11594
746.746826171875 61146438355.552895
746.9429321289062 61301991816.69821
747.1390380859375 61438751417.519516
747.3352661132812 61632819196.78199
747.5315551757812 61691753089.339035
747.72802734375 61723438846.39173
747.9244995117188 61323808105.97143
748.12109375 60919731736.615845
748.3176879882812 61073529707.8241
748.5145263671875 61210776405.57717
748.7113037109375 60967535250.197
748.908203125 60717069449.44229
749.105224609375 60668063511.04641
749.3023681640625 60930760645.40049
749.49951171875 61149358119.92454
749.6968383789062 60984486605.38628
749.8941650390625 60772464948.012764
750.0916137695312 60889748747.66158
750.2891235351562 60678966590.11098
750.4866943359375 60603767923.72337
750.6844482421875 60569911449.305504
750.8822631835938 60180302447.36254
751.0801391601562 60433815342.68625
751.278076171875 60809747282.906296
751.4761352539062 60881696100.64563
751.67431640625 60863869406.79877
751.87255859375 60468942061.21037
752.0708618164062 60286088066.92187
752.269287109375 60178204216.96936
752.4677734375 60157351977.33189
752.6663818359375 60316668347.29425
752.864990234375 60120356938.939865
753.0638427734375 60188692999.072266
753.2625732421875 60054587752.363945
753.4615478515625 59847994612.10716
753.6605834960938 59924195797.72795
753.8596801757812 59890654365.091896
754.0588989257812 59629773309.437584
754.2581787109375 59463122438.05233
754.4575805664062 59366946756.65495
754.6570434570312 59264344363.20648
754.8565673828125 59154752230.56418
755.0562133789062 59157987443.80769
755.2559814453125 58947783548.43094
755.455810546875 58824139469.41948
755.6557006835938 58542974245.22683
755.8557739257812 58577372394.197235
756.0557861328125 58703524638.232544
756.2559204101562 59291389472.50444
756.4562377929688 59307553909.43502
756.6565551757812 58993332162.19985
756.8569946289062 58818343106.74715
757.0575561523438 58698310350.44366
757.2581787109375 58414185954.735214
757.4588623046875 57912085197.154755
757.65966796875 58039898860.302765
757.860595703125 57945290690.67437
758.0615844726562 57681630256.68983
758.2626342773438 57453635537.58576
758.4638671875 57350055621.41816
758.6650390625 57099211053.61981
758.866455078125 57033319980.07105
759.0678100585938 56784534339.6918
759.2693481445312 56611396034.84087
759.470947265625 56255725331.03772
759.6726684570312 55936151895.55796
759.8744506835938 55534080016.021774
760.0762939453125 55498021710.75706
760.2783203125 55492067287.177444
760.4803466796875 55600409779.021034
760.6825561523438 55717444273.30217
760.884765625 55236084364.876366
761.0870971679688 54737751074.98002
761.2894897460938 54677005744.48454
761.4920654296875 55044950464.3936
761.6946411132812 55144314143.92249
761.8973388671875 55281904763.34665
762.1000366210938 55099793464.47131
762.3029174804688 55029900200.06012
762.5059204101562 55056543722.384384
762.7090454101562 54846115274.801704
762.9121704101562 54996353338.929405
763.1153564453125 55036269357.1309
763.3187255859375 55192620890.94517
763.5221557617188 54942183780.04945
763.7256469726562 55014653226.64068
763.9292602539062 55011153698.1387
764.1329956054688 54979099458.28669
764.3367309570312 55055731778.97413
764.5405883789062 55137329341.3964
764.74462890625 54996891162.88269
764.9486083984375 54972641731.59771
765.15283203125 54865545220.75646
765.3570556640625 54897469438.44697
765.5614013671875 54778693797.66512
765.7658081054688 54601295061.640144
765.9703369140625 54724969888.35409
766.1749267578125 54801501877.5914
766.379638671875 54798893838.96793
766.5844116210938 54723758928.998955
766.7893676757812 54844954188.45271
766.9943237304688 54758404845.53541
767.1993408203125 54822307884.75956
767.4046020507812 54718662100.19705
767.6098022460938 54861229605.222916
767.8151245117188 54762363032.78458
768.0205688476562 54580243522.85582
768.2261962890625 54186741803.52965
768.4317626953125 53704883177.12652
768.6375122070312 54026812822.949295
768.84326171875 53951041464.10374
769.0491943359375 53376641105.15668
769.2551879882812 53653070651.28609
769.4613037109375 53890628941.67549
769.66748046875 54078033816.62578
769.8737182617188 53905529162.40993
770.080078125 53661279270.45336
770.2865600585938 53472964562.87249
770.4931030273438 53630118560.26866
770.6998291015625 53766787547.48248
770.9065551757812 53535759231.057014
771.1133422851562 53131623210.63453
771.3202514648438 53259840244.87418
771.5272827148438 53600257606.766075
771.7344360351562 53691491742.971756
771.9415893554688 53074815217.34301
772.1488647460938 52820612489.127426
772.3562622070312 53066264218.6485
772.5637817382812 53026737382.75209
772.7714233398438 53028586738.26402
772.9790649414062 52994016937.805916
773.1868286132812 53060455514.550255
773.3946533203125 53212576870.92667
773.6026611328125 53315248828.27763
773.8107299804688 53289809102.06517
774.0188598632812 52976039138.83992
774.2271118164062 52914324163.5573
774.4354858398438 53199949944.54468
774.6438598632812 53045344175.489624
774.8523559570312 52951777105.98144
775.0609741210938 52946880699.83201
775.269775390625 52870017935.57392
775.478515625 52726604322.873024
775.6874389648438 52683907794.26268
775.896484375 52573674785.60238
776.1055297851562 52503340977.13388
776.314697265625 52832266323.972145
776.5240478515625 52944618163.887566
776.7333374023438 52577734921.46958
776.94287109375 52629789728.748924
777.1524047851562 52751321031.15885
777.3621215820312 52820401859.72507
777.5718383789062 52463283579.23447
777.78173828125 52589211963.47512
777.99169921875 52571387596.67237
778.2017211914062 52639665476.741035
778.411865234375 52720997974.518486
778.6220703125 52654764464.29476
778.8323974609375 52757530505.42739
779.0428466796875 52929162095.67609
779.2533569335938 52830387922.74899
779.4639892578125 52589839391.350975
779.6746826171875 52639234527.19241
779.885498046875 52639010737.81872
780.096435546875 52606223325.69792
780.3074340820312 52540643898.100655
780.5184936523438 52654461646.05392
780.7296752929688 52781754579.877
780.9410400390625 52643753619.66879
781.1524047851562 52276903512.42651
781.3638916015625 52410840703.18704
781.575439453125 52790520472.775085
781.7871704101562 52470135085.59011
781.9989013671875 52131619596.81713
782.2107543945312 51636782230.81715
782.4227294921875 51648066658.17188
782.6348266601562 51532316009.396454
782.846923828125 51323336897.71266
783.0592651367188 51145375238.442375
783.2715454101562 51105171840.20855
783.4840698242188 51178566849.36562
783.696533203125 50928014012.705185
783.9092407226562 50349310549.136765
784.1219482421875 50074534119.94087
784.3348388671875 50142163101.76607
784.5477294921875 50127421325.768776
784.7607421875 49864349451.492676
784.973876953125 49730149583.04089
785.1871337890625 49672236284.7305
