string
description: Fe
filedata_intensity/210205_PM012548_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
739.7459716796875 237310217912.63364
739.93896484375 290317946935.0433
740.132080078125 330736516758.98
740.3251953125 346276466556.2836
740.5184326171875 334034399150.18243
740.7117309570312 295806260938.95416
740.9050903320312 238813566850.799
741.0986328125 176369941806.81158
741.292236328125 119568781970.26086
741.48583984375 74541390781.18172
741.6795654296875 43056416525.10975
741.8734130859375 24245838993.23262
742.0673828125 13999436799.159664
742.2613525390625 9161092949.40345
742.4553833007812 6993863507.999713
742.6495971679688 5932060762.1840925
742.8438110351562 5408103545.731836
743.0381469726562 4991264661.56579
743.2326049804688 4465042036.894046
743.4271240234375 4286719267.675359
743.6217041015625 4285707928.770831
743.8163452148438 4276053955.8364573
744.0111694335938 4276840487.1290493
744.2059936523438 4264416683.586437
744.4010009765625 4211448891.2504435
744.595947265625 4180789917.8192554
744.791015625 4184518249.348397
744.9862670898438 4174105189.5059466
745.1815185546875 4203416427.226922
745.376953125 4028787283.037639
745.5723266601562 4003647282.3967767
745.7678833007812 4170391073.7661953
745.9635009765625 4330375467.094586
746.1591796875 4304187925.383372
746.3550415039062 4347135925.0642805
746.5509033203125 4595043293.3455
746.746826171875 4811278071.862322
746.9429321289062 5073578220.325512
747.1390380859375 5320622404.521779
747.3352661132812 5533622383.16299
747.5315551757812 5597700360.555512
747.72802734375 5515213206.973069
747.9244995117188 5568437402.384625
748.12109375 5452564048.636756
748.3176879882812 5174071950.842273
748.5145263671875 5033330261.185101
748.7113037109375 4892292516.939732
748.908203125 4688058587.765609
749.105224609375 4583687593.994411
749.3023681640625 4480956126.476326
749.49951171875 4117004701.3310227
749.6968383789062 3850923097.361655
749.8941650390625 3774794899.9842787
750.0916137695312 3754346072.224591
750.2891235351562 3828849870.2871547
750.4866943359375 3807074304.0567675
750.6844482421875 3729294409.6050134
750.8822631835938 3813328727.797616
751.0801391601562 3857503190.6333475
751.278076171875 3784645577.139696
751.4761352539062 3600997021.740142
751.67431640625 3560388594.1871023
751.87255859375 3600135580.369118
752.0708618164062 3791377419.9729304
752.269287109375 4062527393.034154
752.4677734375 4413299949.091291
752.6663818359375 4659913174.971281
752.864990234375 4659864599.130991
753.0638427734375 4902664842.151469
753.2625732421875 5014074146.931572
753.4615478515625 5178687291.785261
753.6605834960938 5259924441.353161
753.8596801757812 5427946811.397345
754.0588989257812 5569739389.682264
754.2581787109375 5673745627.295523
754.4575805664062 5900016394.472126
754.6570434570312 6088416398.154789
754.8565673828125 6236230075.819951
755.0562133789062 6422039030.6684265
755.2559814453125 6721730380.603227
755.455810546875 7150812369.836557
755.6557006835938 7619544727.292302
755.8557739257812 7734257979.169862
756.0557861328125 7669476666.182594
756.2559204101562 7601652424.818308
756.4562377929688 7543288133.867538
756.6565551757812 7636262115.930842
756.8569946289062 7938020384.944554
757.0575561523438 7999779494.823523
757.2581787109375 7844308198.27683
757.4588623046875 7796472397.463035
757.65966796875 7733430512.701122
757.860595703125 7711189437.282446
758.0615844726562 7670571407.320003
758.2626342773438 7597579143.687341
758.4638671875 7702557598.100315
758.6650390625 7836338301.952363
758.866455078125 8155263935.689563
759.0678100585938 8509146878.110653
759.2693481445312 8967410706.007074
759.470947265625 9636926746.46747
759.6726684570312 10302285471.397915
759.8744506835938 10642780525.784925
760.0762939453125 11217452574.959951
760.2783203125 12057169862.554035
760.4803466796875 12743935938.085184
760.6825561523438 13514858981.676022
760.884765625 14867127598.668709
761.0870971679688 16958312060.561277
761.2894897460938 19323201440.635437
761.4920654296875 21501985523.940723
761.6946411132812 22871896805.53198
761.8973388671875 23208212669.686665
762.1000366210938 22351060979.557465
762.3029174804688 20459056462.135273
762.5059204101562 18256085095.568104
762.7090454101562 16185976065.223864
762.9121704101562 14814401694.67585
763.1153564453125 14309656275.795065
763.3187255859375 14004812564.893248
763.5221557617188 13675412308.0931
763.7256469726562 13050450928.791698
763.9292602539062 12348128573.42298
764.1329956054688 11776159752.793625
764.3367309570312 11034839452.294315
764.5405883789062 10713476819.26278
764.74462890625 10370741884.95213
764.9486083984375 10049797792.639797
765.15283203125 9823354740.353033
765.3570556640625 9451417572.057146
765.5614013671875 9016271402.605825
765.7658081054688 8648526106.154516
765.9703369140625 8537066928.267619
766.1749267578125 8682544438.49734
766.379638671875 9240349381.585001
766.5844116210938 10325950914.387817
766.7893676757812 12410960750.938194
766.9943237304688 14570774897.71108
767.1993408203125 17275908367.86551
767.4046020507812 20757131256.420444
767.6098022460938 24757944223.942314
767.8151245117188 28423160014.8966
768.0205688476562 31141671284.513893
768.2261962890625 32623000008.14147
768.4317626953125 32551307215.150654
768.6375122070312 30373571816.083637
768.84326171875 26975491318.984245
769.0491943359375 22423348865.077652
769.2551879882812 17825972068.634495
769.4613037109375 14804300206.592264
769.66748046875 12897413452.60141
769.8737182617188 11892680238.436031
770.080078125 11617383410.278843
770.2865600585938 11847783525.215403
770.4931030273438 12125202575.332104
770.6998291015625 12123287973.803522
770.9065551757812 12467341429.647512
771.1133422851562 13491231485.400684
771.3202514648438 14787716050.299814
771.5272827148438 16507341843.608948
771.7344360351562 18699436245.708206
771.9415893554688 21291887891.868412
772.1488647460938 23422335831.263943
772.3562622070312 25012435304.924355
772.5637817382812 25978036693.528618
772.7714233398438 25770720961.237854
772.9790649414062 24790271707.559155
773.1868286132812 23197556951.195007
773.3946533203125 21657608819.453712
773.6026611328125 21009330223.428215
773.8107299804688 22793737151.707737
774.0188598632812 27694544352.034927
774.2271118164062 35937117653.44137
774.4354858398438 47279473628.99698
774.6438598632812 60729711130.87541
774.8523559570312 75224886463.65176
775.0609741210938 90332581495.07623
775.269775390625 104888669431.2412
775.478515625 115084810643.55963
775.6874389648438 119674909621.26126
775.896484375 118830389427.85309
776.1055297851562 112877902278.2829
776.314697265625 101464660940.16026
776.5240478515625 84680360987.40585
776.7333374023438 64363934301.8787
776.94287109375 45278533151.112144
777.1524047851562 30661143325.479332
777.3621215820312 21302868720.407066
777.5718383789062 16372351488.937336
777.78173828125 14040916272.64688
777.99169921875 13176433754.422998
778.2017211914062 12859430920.522604
778.411865234375 12844643368.572216
778.6220703125 13093478151.493746
778.8323974609375 13111277283.20125
779.0428466796875 12970418010.88526
779.2533569335938 12663576471.58553
779.4639892578125 12520397383.831297
779.6746826171875 12601550172.771282
779.885498046875 12656910753.390535
780.096435546875 12635672930.270477
780.3074340820312 12850523083.256666
780.5184936523438 13157923934.391594
780.7296752929688 14339441418.682175
780.9410400390625 16651482789.428816
781.1524047851562 20336131470.54165
781.3638916015625 26337086939.580414
781.575439453125 35025324666.35023
781.7871704101562 46543798966.17987
781.9989013671875 58986363037.74626
782.2107543945312 70320681640.57948
782.4227294921875 78742657054.56154
782.6348266601562 82616743758.08517
782.846923828125 80512778294.06343
783.0592651367188 72653504107.78737
783.2715454101562 61326280089.78884
783.4840698242188 50894789568.24909
783.696533203125 45676662069.43376
783.9092407226562 46434693265.55554
784.1219482421875 51476635598.8127
784.3348388671875 58107601699.07376
784.5477294921875 63881445530.860756
784.7607421875 66388097289.819954
784.973876953125 64534229750.614746
785.1871337890625 57622416671.686195
785.4004516601562 46852187055.549095
785.6138916015625 36090903131.06868
785.827392578125 27594934548.64221
786.041015625 22413216497.06438
786.2547607421875 20580618447.67077
786.4686279296875 21367985054.87656
786.6824951171875 24340627211.43943
786.8965454101562 29670394522.025146
787.110595703125 35680858125.243385
787.3248291015625 41698021316.530495
787.5391235351562 46696947432.727516
787.7535400390625 49793246113.83827
787.968017578125 50711114338.694664
788.1826171875 48295576167.89131
788.3973388671875 42983994156.565414
788.6121215820312 36039540580.998955
788.8270263671875 30228565777.114555
789.0419921875 26623559075.157593
789.257080078125 24778696290.610535
789.4722900390625 23869278197.753696
789.6876220703125 23811699413.303677
789.9030151367188 24156958286.711277
790.1184692382812 24533135006.808334
790.3340454101562 25123600675.211918
790.5498046875 25581055948.1394
790.765625 26115411413.445614
790.9814453125 26674906046.552105
791.1974487304688 27123540123.6149
791.4135131835938 27696768911.526573
791.6296997070312 28071846921.240368
791.8460083007812 28237436222.674812
792.0624389648438 28147946889.78826
792.2788696289062 28288643293.570385
792.4954833984375 28990558990.615494
792.712158203125 29521756849.75584
792.928955078125 30383439835.7343
793.1458129882812 32499540602.700813
793.36279296875 36468729002.14963
793.579833984375 42837823443.1411
793.7970581054688 52617561808.28277
794.0143432617188 65199781550.62586
794.2317504882812 79010273916.75174
794.4492797851562 92079624199.51526
794.6668090820312 102651589253.8123
794.8844604492188 108244008071.80069
795.102294921875 107610496610.83017
795.3201904296875 100514907203.6158
795.5381469726562 89341793860.6184
795.7562255859375 76360872629.1101
795.9744873046875 66715391042.29584
796.1927490234375 61007480027.44206
796.4111328125 58294663267.005936
796.6295776367188 58285305817.94159
796.8482055664062 60114823396.59207
797.06689453125 62317779793.486465
797.2857055664062 64921478359.16321
797.504638671875 67543452233.590294
797.7235717773438 69832575817.60954
797.9426879882812 71052824301.37361
798.161865234375 70514803826.54665
798.3812255859375 69064796998.04128
798.6006469726562 67252023485.86228
798.8201293945312 64853034998.49591
799.0397338867188 63539646968.889275
799.2594604492188 64313176335.495926
799.4793090820312 67426320821.908676
799.6991577148438 73352754815.7878
799.9191284179688 81872878666.73149
800.1392822265625 92444937102.81287
800.3595581054688 103623664236.86606
800.5798950195312 114895236963.02332
800.80029296875 126158778626.0929
801.0208129882812 136084718427.56985
801.241455078125 143251218314.29135
801.462158203125 147315736564.9034
801.6830444335938 148343623567.42233
801.9039306640625 146148019705.7326
802.125 143961113815.239
802.3461303710938 140727106115.1356
802.5674438476562 139708457416.7677
802.7887573242188 142179041762.65094
803.01025390625 148117037705.1171
803.2317504882812 154785945832.1762
803.4534301757812 158425162709.99487
803.6751708984375 158872358414.96826
803.8970947265625 153641069631.1559
804.1190185546875 142836323053.82846
804.341064453125 129874489974.46779
804.5632934570312 116910746910.72272
804.7855224609375 106111562930.65887
805.0079345703125 98967332288.04514
805.2303466796875 94293994757.67288
805.4530639648438 91235205045.74687
805.6757202148438 89026590234.31819
805.8984985351562 86974185785.70999
806.1213989257812 84679591500.42194
806.3444213867188 83082392712.3893
806.5675048828125 81945566394.90274
806.7907104492188 82575906245.62575
807.0140991210938 86685215037.03183
807.237548828125 93154574126.55638
807.4609985351562 101018583080.82115
807.6846923828125 109732174142.91791
807.908447265625 118867121895.4382
808.1322021484375 125407805041.93129
808.3561401367188 128972758912.23666
808.5802001953125 130382732954.40103
808.8043823242188 129700901417.34943
809.0286254882812 126875956315.31989
809.2530517578125 122947125147.44229
809.4775390625 118465150552.68169
809.7020263671875 114238348730.41301
809.9267578125 111137533082.77916
810.1515502929688 108749740828.17815
810.3764038085938 108529087640.70966
810.6014404296875 110949818810.17842
810.8265380859375 116664756897.19954
811.0517578125 126070088098.08505
811.2770385742188 139293418182.9127
811.50244140625 155093485862.9895
811.72802734375 174862858480.25058
811.9536743164062 199827480039.18762
812.1793823242188 229998187644.81735
812.4052124023438 266264277211.69046
812.6311645507812 311087073185.1638
812.8572387695312 360769310552.2206
813.0834350585938 408359546214.85657
813.3096313476562 446387605810.7131
813.5360107421875 470869902229.92096
813.7625122070312 477694772288.5337
813.9891357421875 465198445244.62836
814.2157592773438 435132814260.93335
814.442626953125 394724200738.27026
814.6694946289062 351181223171.0884
814.8965454101562 311629683129.3296
815.1236572265625 278233802193.45605
815.3508911132812 252333939189.9599
815.5781860351562 232104459717.17392
815.8056640625 216016986796.54117
816.033203125 203254531361.65933
816.2608032226562 192653990623.00845
816.4886474609375 184529847860.889
816.716552734375 179181815596.21738
816.9445190429688 176281923563.8965
817.172607421875 175058748027.97028
817.4007568359375 173854374519.02704
817.6290893554688 172695274754.80234
817.8575439453125 170847047433.4709
818.0859985351562 167850924096.37598
818.3146362304688 161794526799.63318
818.5433349609375 152240231522.84235
818.772216796875 140462173851.82056
819.0011596679688 125310609749.87894
819.2301635742188 107747615081.20796
819.4594116210938 90003950638.58647
819.6886596679688 74899453726.22522
819.9180297851562 63424226237.52471
820.1475219726562 55393951463.90366
820.3771362304688 51382582879.98025
820.6068725585938 51618553013.28937
820.836669921875 55652493432.37657
821.0665893554688 61746637244.19361
821.2966918945312 68917418588.249
821.5267333984375 75781607717.76447
821.757080078125 82471408957.26152
821.9873657226562 88906775349.61214
822.2178344726562 94709620947.72495
822.4484252929688 100727772281.17986
822.6791381835938 108912430538.91277
822.909912109375 121276072924.10905
823.140869140625 137966618284.27148
